reference_num,name,lat,lon,diameter,confidence,elevation,rho,dn_inside,dn_outside,dn_difference,continous_ejecta_rad,flow_length,dark_halo_diameter,ejecta_completeness,rim_completeness,planform,morphologic_class,central_structure_diameter,wall_terracing,wall_width,multiple_crater,floor_reflectivity,parabolic_feature,impactor_direction,multi_asteroid_grp_num,terrain,interior_flat_floor,exterior_embayment,tectionically_deformed,degradation_state,comments,wall_terracing_detail,multicrater_detail,planform_detail,morph_class_detail,floor_reflectivity_detail,parabolic_detail,terrain_detail,interior_floor_detail,exterior_embayment_detail,techtonically_deformed_detail,degradation_state_detail
909,crater_at_38.7S_359.1E,-38.745,359.078,3.2,1,6051.45,1.59,0,0,0,8.8,0.0,40,0.3,0.8,i,2,0.0,u,0.0,s,i,n,w,0,p,n,n,n,1,2 rays of ejecta,unterraced,single crater,irregular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
91,Parra,20.5,78.5,42.8,2,6052.02,3.5,140,88,52,26.9,33.6,140,1.0,1.0,c,2,0.0,t,8.4,s,b,n,null,0,v,y,n,n,1,on side of volcano, data quality poor in center,terraced,single crater,circular,knobby base,bright,no,volcano,yes,no,no,pristine with ejecta
910,crater_at_33.4S_216.2E,-33.39,216.234,3.2,1,6051.54,1.27,0,0,0,7.6,0.0,0,0.7,1.0,c,1,0.0,u,0.0,s,i,n,nnw,0,p,n,n,n,1,null,unterraced,single crater,circular,bowl,intermediate,no,plains,no,no,no,pristine with ejecta
911,crater_at_22.6N_94.1E,22.56,94.135,3.1,1,6051.43,2.23,0,0,0,7.7,0.0,0,0.5,1.0,i,2,0.0,u,0.0,s,i,n,n,0,p,n,n,n,1,null,unterraced,single crater,irregular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
912,Dena,-20.673,338.654,3.0,3,6051.51,0.0,0,0,0,3.4,0.0,60,0.2,1.0,i,2,0.0,u,0.0,m,d,n,null,0,p,n,n,n,1,null,unterraced,multiple floor,irregular,knobby base,dark,no,plains,no,no,no,pristine with ejecta
913,crater_at_6.0S_46.6E,-5.956,46.609,2.9,1,6052.66,1.27,0,0,0,6.2,0.0,0,0.6,1.0,i,2,0.0,u,0.0,s,i,n,s,0,c,n,n,n,1,null,unterraced,single crater,irregular,knobby base,intermediate,no,coronae,no,no,no,pristine with ejecta
914,crater_at_67.0N_297.2E,66.968,297.171,2.9,2,6051.56,3.82,0,0,0,9.0,0.0,0,0.6,1.0,i,2,0.0,u,0.0,s,i,n,null,0,p,n,n,n,1,null,unterraced,single crater,irregular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
915,Amelia,8.572,280.375,2.8,1,6051.24,3.18,0,0,0,8.7,0.0,30,0.7,1.0,c,2,0.0,u,0.0,s,b,n,n,0,p,n,n,n,1,null,unterraced,single crater,circular,knobby base,bright,no,plains,no,no,no,pristine with ejecta
916,crater_at_23.0S_150.9E,-22.983,150.895,2.8,3,6052.47,0.0,0,0,0,3.3,0.0,30,0.5,1.0,c,2,0.0,u,0.0,s,i,n,null,0,p,n,n,n,1,null,unterraced,single crater,circular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
917,crater_at_27.3N_277.0E,27.296,276.962,2.8,3,6053.33,0.0,0,0,0,6.5,0.0,30,1.0,1.0,i,2,0.0,u,0.0,s,i,n,null,0,v,n,n,n,1,probably volcanic,unterraced,single crater,irregular,knobby base,intermediate,no,volcano,no,no,no,pristine with ejecta
918,crater_at_29.6N_135.4E,29.611,135.417,2.7,2,6051.14,0.95,0,0,0,3.7,4.5,20,1.0,0.9,i,2,0.0,u,0.0,s,d,n,null,0,p,n,n,n,2,null,unterraced,single crater,irregular,knobby base,dark,no,plains,no,no,no,no ejecta
919,crater_at_11.8S_302.8E,-11.812,302.772,2.6,2,6052.26,3.18,0,0,0,8.1,0.0,20,0.3,0.9,i,2,0.0,u,0.0,s,b,n,ene,0,p,n,n,n,1,null,unterraced,single crater,irregular,knobby base,bright,no,plains,no,no,no,pristine with ejecta
92,Khatun,40.3,87.2,42.4,1,6052.55,1.27,139,117,22,32.8,114.1,120,0.5,1.0,c,4,12.0,t,5.1,s,b,n,null,0,t,y,n,n,2,null,terraced,single crater,circular,several peaks,bright,no,tessera and mountain belts,yes,no,no,no ejecta
920,crater_at_47.0N_263.5E,46.958,263.512,2.5,2,6050.92,1.91,0,0,0,5.1,0.0,10,0.2,0.8,i,2,0.0,null,0.0,m,i,n,null,0,p,n,n,n,1,null,null,multiple floor,irregular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
921,crater_at_31.6N_324.3E,31.643,324.33,2.3,2,6051.01,1.27,0,0,0,4.7,0.0,10,0.6,1.0,c,1,0.0,u,0.0,s,i,n,ssw,0,p,n,n,n,1,null,unterraced,single crater,circular,bowl,intermediate,no,plains,no,no,no,pristine with ejecta
922,crater_at_78.6N_270.3E,78.638,270.338,2.3,2,6051.25,3.5,0,0,0,5.0,0.0,0,0.6,1.0,i,2,0.0,u,0.0,s,d,n,null,0,c,n,n,n,1,null,unterraced,single crater,irregular,knobby base,dark,no,coronae,no,no,no,pristine with ejecta
923,crater_at_37.6N_350.2E,37.598,350.153,2.1,2,6050.41,1.59,0,0,0,4.6,0.0,20,0.2,1.0,i,2,0.0,u,0.0,s,d,n,null,0,p,n,n,n,1,wind streaks to W,unterraced,single crater,irregular,knobby base,dark,no,plains,no,no,no,pristine with ejecta
924,Mamajan,-65.105,257.276,1.7,1,6050.77,2.86,0,0,0,5.0,0.0,0,1.0,1.0,c,2,0.0,u,0.0,s,i,n,null,0,p,n,n,n,1,null,unterraced,single crater,circular,knobby base,intermediate,no,plains,no,no,no,pristine with ejecta
925,Abra,6.2,97.4,7.8,1,6055.54,2.86,0,0,0,0.0,0.0,0,0.1,0.8,c,0,0.0,t,0.0,s,i,n,null,0,t,n,n,y,3,null,terraced,single crater,circular,flat floor,intermediate,no,tessera and mountain belts,no,no,yes,highly degraded
